NRIC,NAME,CHECKIN,CHECKOUT,LOCATION,RMI
"S1234567A","Alice","Sat Jun 05 00:27:38 SGT 2021","","NYP","192.168.68.10"
"S1234567A","Alice","Sat Jun 05 00:28:12 SGT 2021","","NYP","192.168.68.10"
"S1234567A","Alice","Sat Jun 05 00:28:14 SGT 2021","","NYP","192.168.68.10"
"S1234567A","Ali","Sat Jun 05 00:31:25 SGT 2021","","Home","192.168.68.10"
"NRIC","name","Sat Jun 05 23:53:28 SGT 2021","","location","rmi://localhost:1099/database"
"NRIC","name","Sun Jun 06 00:00:44 SGT 2021","","location","rmi://localhost:1099/database"
"NRIC","name","Sun Jun 06 01:12:16 SGT 2021","","location","rmi://localhost:1099/database"
"NRIC","name","Sun Jun 06 01:12:51 SGT 2021","","location","rmi://localhost:1099/database"
"NRIC","name","Sun Jun 06 01:15:44 SGT 2021","","location","rmi://localhost:1099/database"
"NRIC","name","Sun Jun 06 01:18:27 SGT 2021","","location","rmi://localhost:1099/database"
"NRIC","name","Sun Jun 06 01:18:59 SGT 2021","","location","rmi://localhost:1099/database"
"NRIC","name","Sun Jun 06 01:21:11 SGT 2021","","location","rmi://localhost:1099/database"
"NRIC","name","Sun Jun 06 01:21:49 SGT 2021","","location","rmi://localhost:1099/database"
"NRIC","name","Sun Jun 06 01:22:01 SGT 2021","","location","rmi://localhost:1099/database"
"NRIC","name","Sun Jun 06 01:23:10 SGT 2021","","location","rmi://localhost:1099/database"
"NRIC","name","Sun Jun 06 01:23:37 SGT 2021","","location","rmi://localhost:1099/database"
"NRIC","name","Sun Jun 06 01:25:47 SGT 2021","","location","rmi://localhost:1099/database"
"NRIC","name","Sun Jun 06 01:27:22 SGT 2021","","location","rmi://localhost:1099/database"
"NRIC","name","Sun Jun 06 01:30:21 SGT 2021","","location","rmi://localhost:1099/database"
"NRIC","name","Sun Jun 06 01:30:52 SGT 2021","","location","rmi://localhost:1099/database"
"NRIC","name","Sun Jun 06 01:32:06 SGT 2021","","location","rmi://localhost:1099/database"
